name,price,processor_type,graphics_card,motherboard_chipset
Komputronik Infinity X712 [A1],9490.0,"i7-12700KF (3.6 GHz, 5.0 GHz Turbo, 25MB Cache 125W)",GeForce RTX 3060 Ti,Intel Z690  (Asus Z690-P WIFI D4)
Komputronik Infinity X512 [E1],5990.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",Geforce RTX 3060,Intel B660  (ASUS PRIME B660M-A WIFI D4)
Komputronik Powered by ASUS [F05],6490.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",GeForce RTX 3060 Ti,Intel B660  (ASUS PRIME B660M-A WIFI D4)
Komputronik Infinity X512 [E4],7190.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",Geforce RTX 3060,Intel B660  (ASUS PRIME B660M-A WIFI D4)
Komputronik Infinity X512 [E8],7490.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",Geforce RTX 3060,Intel B660  (ASUS PRIME B660M-A WIFI D4)
Komputronik Infinity X512 [B4],6190.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",Geforce RTX 3050,Intel H610  (ASUS PRIME H610M-E D4)
Komputronik Infinity X312 [C1],4690.0,"i3-12100F (3.3 GHz, 4.3 GHz Turbo, 12MB Cache 58W)",Geforce RTX 3050,Intel H610  (Asus H610M-A D4)
Komputronik Ultimate X711 [F2],11490.0,"i7-11700K (3.8 GHz, 5.1 GHz Turbo, 16MB Cache, 125W)",GeForce RTX 3070 Ti,Intel Z590  (Asus Z590-E Gaming WiFi)
Komputronik Infinity X512 [D8],5290.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",GeForce GTX 1650,Intel H610  (Asus H610M-A D4)
ASUS ROG Strix G15DK-R5800X339W,6299.0,"7 5800X (3.8GHz, 4.7GHz Turbo, 32MB Cache, 105W)",Geforce RTX 3060,AMD B550
Komputronik Ultimate X711 [H2],9090.0,"i7-11700K (3.8 GHz, 5.1 GHz Turbo, 16MB Cache, 125W)",GeForce RTX 3070,Intel Z590  (Asus Z590-P)
ASUS ROG Strix G10CE-51140F174W,5499.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",Geforce RTX 3060,Intel B560
Lenovo Legion T5-26IOB6 (90RT00CFPL),8990.0,"i7-11700F (2.5 GHz, 4.9 GHz Turbo, 16MB Cache, 65W)",GeForce RTX 3070,Intel B560
Lenovo IdeaCentre Gaming 5-14ACN6 (90RW002WPB),4599.0,"5 5600G (3.9GHz, 4.4GHz Turbo, 16MB Cache, 65W)",Geforce RTX 3060,
Komputronik Infinity X512 [D6],4999.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",GeForce GTX 1650,Intel H610  (Asus H610M-A D4)
Komputronik Infinity X510 [M4],5390.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)",GeForce GTX 1660 SUPER,Intel H410
Komputronik Infinity X510 [L2],4990.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)",GeForce RTX 2060,Intel H410  (Gigabyte H410M S2H V3)
Komputronik Infinity X512 [D2],4799.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",GeForce GTX 1650,Intel H610  (Asus H610M-A D4)
Komputronik Infinity X511 [M4],5790.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",Geforce RTX 3050,Intel B560  (Gigabyte B560M DS3H V2)
Komputronik Powered by ASUS [ProArt-B2],18290.0,"i7-12700KF (3.6 GHz, 5.0 GHz Turbo, 25MB Cache 125W)",GeForce RTX 3080 Ti,Intel Z690  (ProArt Z690-CREATOR WiFi)
Komputronik Infinity X712 [B2],8690.0,"i7-12700F (2.1 GHz, 4.9 GHz Turbo, 25MB Cache, 65W)",GeForce RTX 3060 Ti,Intel B660  (ASUS PRIME B660M-A D4)
Komputronik Infinity X312 [D1],5290.0,"i3-12100F (3.3 GHz, 4.3 GHz Turbo, 12MB Cache 58W)",Geforce RTX 3060,Intel H610  (Asus H610M-A D4)
Komputronik Infinity X511 [M3],5290.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",Geforce RTX 3050,Intel B560  (Gigabyte B560M DS3H V2)
Komputronik Infinity R550 [P1],4999.0,"5 5500 (3.6 GHz, 4.2 GHz Turbo, 16MB Cache, 65W)",Geforce RTX 3050,AMD B550
Komputronik Infinity X510 [K4],5990.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)",Geforce RTX 3060,Intel B560  (Gigabyte B560M Aorus Elite)
Komputronik Infinity X512 [E3],6490.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",Geforce RTX 3060,Intel B660  (ASUS PRIME B660M-A WIFI D4)
Komputronik Infinity X512 [J1],5690.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",Geforce RTX 3060,Intel B660  (Gigabyte B660M DS3H AX DDR4)
Lenovo IdeaCentre Gaming 5-14ACN6 (90RW002XPB),4999.0,"5 5600G (3.9GHz, 4.4GHz Turbo, 16MB Cache, 65W)",Geforce RTX 3060,
Komputronik Ultimate X711 [F1],10490.0,"i7-11700K (3.8 GHz, 5.1 GHz Turbo, 16MB Cache, 125W)",GeForce RTX 3070 Ti,Intel Z590  (Asus Z590-E Gaming WiFi)
Komputronik Infinity X511 [K6],6690.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",Geforce RTX 3060,Intel B560  (MSI B560-A PRO)
